"Reference","Value","Footprint","Datasheet","Qty"
"J1-J13","Conn_01x01_Female","Connector_Pin:Pin_D1.0mm_L10.0mm","~","13"
"J14","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~","1"
"R1-R12","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","12"
